product_id,totalReviewCount,average_rating,full_text,title,review_date,Verified,Helpful-Yes,Helpful-No
173019570,20,4.4,"It's really nice and easy to understand. It tells you your steps you've done, how many calories your burning, and it goes into detail of how you sleep, the weather, and you can see messages and change music on your smartphone. It also looks like an attractive watch. It's fantastic!!",The best smart watch I've had!,"December 9, 2020",True,0,0
173019570,20,4.4,"I shopped around for a smart watch online not knowing if I should get a Fitbit or an Apple watch! I wanted something very simple and not too fancy for work and not too big either because I have a small wrist! I went on pinterest and saw a picture of the Itouch Sport rose gold! I saw the price and I was very pleased! I went on the ITouch wearables website and the ITouch slim was exactly what I was looking for! Simple, comfortable for work and perfect for my small wrist. At this point, I had fell in love with the rose gold ITouch Sport so I bought both! I wear it well and it looks fancy when I go out! I can pair each watches on the ITouch wearables App and it's very convenient! Technical support help do that (thank you Jenn) since I'm pretty bad with technology. I love that you can see your sleep hours, heart rate, miles, blood oxygen pourcentage, steps, calories, notifications, controls music and pics! I wish there was more sports mode to choose from on the watches but it does the job for me so it's ok.The screen is colourful too! So for literally 200$, I bought 2 watches and accessories too and it was a great deal for me!",Love my watches!,"August 24, 2020",True,0,0
173019570,20,4.4,"Pretty good watch. Not and iwatch of course so don't expect it to be. But for the price, its a good one. Steps are right. Notifications are good and alarms work. Thats all I need. Oh and heart rate is accurate for me anyways.",Very nice watch,"September 30, 2020",True,0,0
173019570,20,4.4,"If you want to keep up with step , but are not wanting to respond to text this will be for you! I love it, I didn't want the Apple watch bc I didn't want to be tied to my phone completely!",Keeping Up!,"October 15, 2020",True,0,0
173019570,20,4.4,"I am loving this watch! It is so clean, simple and chic in style. I have had no issues with connectivity (and I have an iPhone 8+) and it holds a charge for days!! I was very happy to find out that we can change the face of the watch and there are soooooo many options! I have a relatively small wrist and I actually really like the size of the watch face; oversized but perfectly oversized.",Chic &amp; Cool,"April 9, 2020",True,0,0
173019570,20,4.4,"I love my watch, I will buy another for my daughter and my husband.  Quality at a good price",I loved!!!,"November 6, 2020",True,0,0
173019570,20,4.4,Excelent services and fast delivery.  My experience its great.,Excelent!,"June 6, 2020",True,0,0
173019570,20,4.4,I bought one for me and one for my husband and we are absolutely in love!,Super!,"June 10, 2020",True,0,0
173019570,20,4.4,"I got this a month ago and have received so many compliments. I like the features it offers. Except I don't receive text messages on it which is pretty disappointing.   I knew I wouldn't be able to text back or answer calls, but I thought I would be able to receive messages.",Looks super cute!,"July 27, 2020",True,1,0
173019570,20,4.4,"Received the product which looks like it was already used!!!  The back is all scraped up, looks like I'm giving my teenager a real cheap gift.  
We'll see if it actually works because so far I want to return.",Sent a used watch,"July 9, 2020",True,0,0
